Source,Target,Weight
侯亮平,赵德汉,147
侯亮平,丁义珍,837
侯亮平,陈海,628
侯亮平,陆亦可,587
侯亮平,林华华,203
侯亮平,高育良,496
侯亮平,祁同伟,410
侯亮平,李达康,1030
侯亮平,沙瑞金,520
侯亮平,陈岩石,297
侯亮平,高小琴,446
侯亮平,蔡成功,1443
侯亮平,赵东来,449
侯亮平,郑西坡,408
侯亮平,欧阳菁,654
侯亮平,郑胜利,141
侯亮平,王大路,58
侯亮平,小皮球,252
赵德汉,侯亮平,147
赵德汉,丁义珍,323
赵德汉,陈海,118
赵德汉,陆亦可,116
赵德汉,林华华,78
赵德汉,高育良,25
赵德汉,祁同伟,30
赵德汉,李达康,72
赵德汉,沙瑞金,21
赵德汉,蔡成功,7
丁义珍,侯亮平,837
丁义珍,赵德汉,323
丁义珍,陈海,313
丁义珍,陆亦可,283
丁义珍,林华华,137
丁义珍,高育良,303
丁义珍,祁同伟,171
丁义珍,李达康,423
丁义珍,沙瑞金,173
丁义珍,陈岩石,48
丁义珍,高小琴,101
丁义珍,蔡成功,226
丁义珍,赵东来,76
丁义珍,王大路,10
丁义珍,欧阳菁,153
丁义珍,郑西坡,15
丁义珍,郑胜利,14
丁义珍,小皮球,216
陈海,侯亮平,628
陈海,赵德汉,118
陈海,丁义珍,313
陈海,陆亦可,163
陈海,林华华,57
陈海,高育良,141
陈海,陈岩石,318
陈海,李达康,311
陈海,高小琴,134
陈海,蔡成功,400
陈海,赵东来,94
陈海,祁同伟,72
陈海,沙瑞金,111
陈海,郑西坡,71
陈海,欧阳菁,45
陈海,王大路,5
陆亦可,侯亮平,587
陆亦可,赵德汉,116
陆亦可,丁义珍,283
陆亦可,陈海,163
陆亦可,林华华,88
陆亦可,高育良,115
陆亦可,祁同伟,118
陆亦可,李达康,306
陆亦可,沙瑞金,137
陆亦可,陈岩石,33
陆亦可,高小琴,57
陆亦可,蔡成功,433
陆亦可,赵东来,235
陆亦可,欧阳菁,162
陆亦可,郑西坡,112
陆亦可,郑胜利,47
陆亦可,王大路,34
陆亦可,小皮球,54
林华华,侯亮平,203
林华华,赵德汉,78
林华华,丁义珍,137
林华华,陈海,57
林华华,陆亦可,88
林华华,高育良,26
林华华,蔡成功,129
林华华,欧阳菁,154
林华华,赵东来,17
林华华,郑西坡,27
林华华,李达康,135
林华华,沙瑞金,21
林华华,王大路,38
林华华,祁同伟,4
林华华,高小琴,24
高育良,侯亮平,496
高育良,赵德汉,25
高育良,丁义珍,303
高育良,陈海,141
高育良,陆亦可,115
高育良,林华华,26
高育良,祁同伟,188
高育良,李达康,454
高育良,沙瑞金,278
高育良,陈岩石,81
高育良,高小琴,110
高育良,蔡成功,186
高育良,赵东来,74
高育良,郑西坡,31
高育良,欧阳菁,193
高育良,郑胜利,28
祁同伟,丁义珍,171
祁同伟,赵德汉,30
祁同伟,侯亮平,410
祁同伟,陆亦可,118
祁同伟,李达康,438
祁同伟,沙瑞金,185
祁同伟,高育良,188
祁同伟,蔡成功,193
祁同伟,陈海,72
祁同伟,赵东来,204
祁同伟,陈岩石,60
祁同伟,高小琴,125
祁同伟,郑西坡,9
祁同伟,欧阳菁,150
祁同伟,王大路,6
祁同伟,林华华,4
祁同伟,小皮球,54
李达康,丁义珍,423
李达康,赵德汉,72
